,precision,recall,f1-score,support
1,1.0,1.0,1.0,18.0
2,1.0,1.0,1.0,19.0
3,1.0,1.0,1.0,19.0
4,1.0,1.0,1.0,22.0
5,1.0,1.0,1.0,22.0
6,1.0,1.0,1.0,17.0
7,1.0,1.0,1.0,19.0
8,1.0,1.0,1.0,16.0
9,1.0,0.9375,0.967741935483871,16.0
10,1.0,1.0,1.0,18.0
11,1.0,1.0,1.0,15.0
12,0.9473684210526315,0.9473684210526315,0.9473684210526315,19.0
14,1.0,1.0,1.0,16.0
15,0.9090909090909091,1.0,0.9523809523809523,20.0
16,0.9444444444444444,0.9444444444444444,0.9444444444444444,18.0
17,1.0,1.0,1.0,17.0
18,1.0,1.0,1.0,23.0
19,1.0,1.0,1.0,19.0
20,1.0,1.0,1.0,18.0
21,1.0,1.0,1.0,20.0
22,1.0,1.0,1.0,18.0
23,1.0,1.0,1.0,16.0
24,1.0,1.0,1.0,16.0
25,1.0,0.9473684210526315,0.972972972972973,19.0
26,0.9411764705882353,1.0,0.9696969696969697,16.0
27,1.0,0.9375,0.967741935483871,16.0
28,1.0,1.0,1.0,16.0
29,1.0,1.0,1.0,16.0
30,1.0,1.0,1.0,17.0
31,1.0,1.0,1.0,19.0
32,1.0,1.0,1.0,16.0
33,1.0,1.0,1.0,17.0
accuracy,0.9912739965095986,0.9912739965095986,0.9912739965095986,0.9912739965095986
macro avg,0.9919400076617568,0.9910681652046784,0.991323363484866,573.0
weighted avg,0.9916939645920243,0.9912739965095986,0.991303663149635,573.0
