,precision,recall,f1-score,support
1,1.0,1.0,1.0,18.0
2,1.0,1.0,1.0,19.0
3,1.0,0.9,0.9473684210526315,20.0
4,1.0,1.0,1.0,22.0
5,1.0,1.0,1.0,22.0
6,1.0,1.0,1.0,17.0
7,1.0,1.0,1.0,19.0
8,1.0,1.0,1.0,16.0
9,1.0,0.9375,0.967741935483871,16.0
10,1.0,1.0,1.0,18.0
11,1.0,1.0,1.0,15.0
12,1.0,1.0,1.0,19.0
14,1.0,1.0,1.0,16.0
15,0.9444444444444444,0.8947368421052632,0.918918918918919,19.0
16,0.9,1.0,0.9473684210526315,18.0
17,1.0,1.0,1.0,17.0
18,1.0,1.0,1.0,23.0
19,1.0,1.0,1.0,19.0
20,1.0,1.0,1.0,18.0
21,1.0,1.0,1.0,20.0
22,1.0,1.0,1.0,18.0
23,1.0,1.0,1.0,16.0
24,1.0,1.0,1.0,16.0
25,0.95,1.0,0.9743589743589743,19.0
26,0.8888888888888888,1.0,0.9411764705882353,16.0
27,1.0,1.0,1.0,16.0
28,1.0,1.0,1.0,16.0
29,1.0,1.0,1.0,16.0
30,1.0,1.0,1.0,17.0
31,1.0,1.0,1.0,19.0
32,1.0,1.0,1.0,16.0
33,1.0,0.9411764705882353,0.9696969696969697,17.0
accuracy,0.9895287958115183,0.9895287958115183,0.9895287958115183,0.9895287958115183
macro avg,0.9901041666666667,0.9897941660216718,0.9895821909735072,573.0
weighted avg,0.9902559627690519,0.9895287958115183,0.989528486831208,573.0
